time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.571518,0.618010529776,-1.0073879481,0.227884613916,1.31261322279,-0.272842709865,1.09698418373,-0.00774541562624
0.581501,0.618789590842,-1.00574623494,0.228087085767,1.31325461136,-0.271509715998,1.09716948914,-0.00698409827371
0.591484,0.619838344732,-1.00345625523,0.228334515696,1.31385691035,-0.270422010302,1.09680092042,-0.00644390123678
0.601466,0.620200862267,-1.00150218771,0.228679779936,1.31415439127,-0.269566728997,1.09635568308,-0.00597974744556
0.611449,0.620431434101,-0.999740170509,0.229092428261,1.31399959414,-0.268825176778,1.09606302368,-0.00504725640724
0.621432,0.62084011482,-0.99772559537,0.229496813167,1.31369659068,-0.268070895745,1.09556658536,-0.00393565905017
0.631415,0.620590681321,-0.99551822113,0.229783023225,1.31341081733,-0.267211222275,1.09477295921,-0.00276353398278
0.641398,0.620394386593,-0.993301328817,0.229814244029,1.31322840624,-0.266284928274,1.09382974122,-0.00185806657903
0.651381,0.620547876201,-0.990994602608,0.230369571394,1.3128922704,-0.265472820195,1.09311618734,-0.00124795429752
0.661363,0.62037272351,-0.988575143569,0.231069939535,1.31243728627,-0.264681449486,1.0925260539,-0.000529828467708
0.671346,0.619884910663,-0.985932408422,0.231233385244,1.31192614229,-0.263996045241,1.09137880572,0.000460633309034
0.681329,0.619603771224,-0.983002127332,0.231338203758,1.31110861434,-0.263983004516,1.09036329005,0.00179676696306
0.691312,0.61963211598,-0.979924365371,0.23157099817,1.31000075907,-0.263911754015,1.08973564306,0.0032842734361
0.701295,0.619356389274,-0.977128678799,0.231819455745,1.3088853968,-0.263367405158,1.08834997978,0.00421486924019
0.711277,0.619109520439,-0.974426554138,0.23204888176,1.3080109694,-0.262806968272,1.08670997652,0.00513139837214
0.721260,0.617984132748,-0.971250602539,0.232453344241,1.30737690861,-0.262662107077,1.08553029868,0.00669121995745
0.731243,0.617152087985,-0.967744739789,0.232756454988,1.30599811676,-0.262303254814,1.08440952627,0.00808533939331
0.741226,0.616660958158,-0.964511941816,0.233308770725,1.30442117848,-0.261865174182,1.08383240523,0.00955192787558
0.751209,0.615408480941,-0.961486282702,0.233849340047,1.30280635725,-0.261753637136,1.08370026544,0.0109711718313
0.761192,0.614388098267,-0.957784282596,0.234458287899,1.30124219967,-0.261860824807,1.08307146791,0.012299212618
0.771174,0.613565460701,-0.953593901967,0.234804001814,1.29977324848,-0.262024626014,1.08174157921,0.0135266067809
0.781157,0.61256320735,-0.949591816881,0.234961345974,1.29854505071,-0.262357428385,1.08004047476,0.0148280349638
0.791140,0.611346128354,-0.945853291742,0.234932760784,1.29711301135,-0.262501573801,1.07849695225,0.0164205315251
0.801123,0.609988239656,-0.94200846355,0.235185952271,1.29503656754,-0.262387855979,1.07718001284,0.0180579912908
0.811106,0.608778582497,-0.937817495815,0.235643945948,1.29291267702,-0.262308112821,1.07541767953,0.0197218402225
0.821088,0.607079522728,-0.933759367897,0.235844307283,1.29088621167,-0.262646994026,1.07344978319,0.0212404641403
0.831071,0.605328834476,-0.92954388557,0.236093683999,1.28896671388,-0.263066036565,1.07158582898,0.0230319166442
0.841054,0.603933851715,-0.925413854175,0.236413228637,1.28724249255,-0.263399985921,1.06970282998,0.0248135907619
0.851037,0.602824391533,-0.921447564952,0.237094187559,1.2853953513,-0.264014072338,1.06815363815,0.0263442352594
0.861020,0.60155958207,-0.917274230432,0.237562578276,1.28328325397,-0.264538948787,1.06622857642,0.0278892379505
0.871003,0.599691489991,-0.91337609996,0.237686437275,1.28125417941,-0.265140924588,1.06438645065,0.0295932138927
0.880985,0.598275431496,-0.909153681771,0.238061592441,1.27872620782,-0.266053146469,1.06295223016,0.0315118173586
0.890968,0.596437608337,-0.904674323591,0.238310660396,1.2764920321,-0.266614775285,1.06114074391,0.0333388484851
0.900951,0.594672425675,-0.900130172874,0.23875491182,1.27432475895,-0.267003204926,1.05906182429,0.0352042066476
0.910934,0.593278921744,-0.89540692864,0.239190837672,1.27181805289,-0.267530566017,1.05730932622,0.0371548877238
0.920917,0.591733496487,-0.890934306983,0.239236054509,1.26911431284,-0.268122618133,1.05539263159,0.0390381051517
0.930899,0.589917868759,-0.886379489505,0.239352571952,1.26614528527,-0.268806947929,1.05331980148,0.0408464721349
0.940882,0.588384414991,-0.8818741205,0.239531430566,1.26346195111,-0.269538814786,1.05120684851,0.0426471663837
0.950865,0.586859457373,-0.877675469475,0.239726812775,1.26097191443,-0.270120548662,1.04915427207,0.0445299816603
0.960848,0.584698236007,-0.873184347265,0.240078569824,1.25861333107,-0.270641160659,1.04726998982,0.046188428859
0.970831,0.582432187014,-0.868487288371,0.240396371965,1.2557552247,-0.271276161312,1.04525007178,0.0480079007348
0.980814,0.580551388885,-0.863592798477,0.240306123699,1.25250476477,-0.272139250195,1.04332369088,0.0500527469337
0.990796,0.579221282325,-0.858730852428,0.240122795379,1.24953358724,-0.2729515514,1.04172846968,0.0519127336747
1.000779,0.577818538464,-0.85403767786,0.24027546493,1.24674168379,-0.273647390732,1.04013393225,0.0540236635455
1.010762,0.575999736155,-0.849350995076,0.240539948026,1.24378078624,-0.274561027102,1.03830281974,0.0560991684068
1.020745,0.574514741348,-0.844723082956,0.240807252402,1.24099631318,-0.275702109313,1.03649939889,0.0581796530857
1.030728,0.572590994171,-0.839751815915,0.241113392449,1.23815446761,-0.276441334334,1.03445897307,0.0603597429593
1.040711,0.57049034961,-0.834882709646,0.241542932033,1.23527712159,-0.277087911388,1.0322962586,0.0624385052027
