time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.683802,-0.00498543756063,-0.555684540411,-0.00383495196971,0.745898158109,-0.00306796157577,1.2536457989,-0.00421844716668,0.0,0.844839918928,-0.800737971276,-0.728640874246,0.856728270034,0.736310778185,1.08529140743,-0.660378729185,7.34094619751
0.683908,-0.00498543756063,-0.555684540411,-0.00383495196971,0.745898158109,-0.00306796157577,1.2536457989,-0.00421844716668,0.0,0.844839918928,-0.800737971276,-0.728640874246,0.856728270034,0.736310778185,1.08529140743,-0.660378729185,7.34094619751
0.693998,-0.0053689327576,-0.555684540411,-0.0026844663788,0.745898158109,-0.00383495196971,1.2536457989,-0.00460194236366,0.0,0.844839918928,-0.802655447261,-0.728640874246,0.859412736413,0.737077768579,1.08644189302,-0.659995233988,7.34094619751
0.704037,-0.0053689327576,-0.554917550018,-0.00383495196971,0.746281653306,-0.00306796157577,1.2536457989,-0.00498543756063,0.0,0.845223414125,-0.803805932852,-0.729024369443,0.863247688383,0.736694273382,1.08720888341,-0.660378729185,7.34094619751
0.714059,-0.00498543756063,-0.554534054821,-0.00306796157577,0.746281653306,-0.00345145677274,1.2532623037,-0.00460194236366,0.0,0.845606909322,-0.805723408837,-0.729024369443,0.865932154761,0.737077768579,1.08682538822,-0.660378729185,7.34094619751
0.724071,-0.00575242795457,-0.555301045215,-0.00383495196971,0.745898158109,-0.00383495196971,1.2532623037,-0.00498543756063,0.0,0.845606909322,-0.808024380019,-0.729024369443,0.869383611534,0.737844758973,1.08759237861,-0.660762224382,7.34094619751
0.734060,-0.0053689327576,-0.555301045215,-0.00345145677274,0.745898158109,-0.00383495196971,1.2532623037,-0.00460194236366,0.0,0.845606909322,-0.811092341594,-0.729024369443,0.872068077913,0.737077768579,1.08720888341,-0.660762224382,7.34094619751
0.744018,-0.0053689327576,-0.555301045215,-0.00345145677274,0.745514662912,-0.00383495196971,1.2532623037,-0.00421844716668,0.0,0.846757394913,-0.811859331988,-0.728640874246,0.875903029883,0.736310778185,1.08759237861,-0.660762224382,7.34094619751
0.754006,-0.00498543756063,-0.555301045215,-0.00345145677274,0.745898158109,-0.00383495196971,1.2536457989,-0.00498543756063,0.0,0.846757394913,-0.813393312776,-0.728640874246,0.879737981852,0.736310778185,1.08797587381,-0.660762224382,7.34094619751
0.764047,-0.0053689327576,-0.554534054821,-0.00345145677274,0.745514662912,-0.00383495196971,1.2532623037,-0.0053689327576,0.0,0.84714089011,-0.815694283958,-0.72940786464,0.883189438625,0.737077768579,1.08759237861,-0.661145719579,7.34094619751
0.774039,-0.0053689327576,-0.554917550018,-0.00306796157577,0.746281653306,-0.00383495196971,1.2536457989,-0.00460194236366,0.0,0.847524385307,-0.81799525514,-0.729024369443,0.885873905004,0.737077768579,1.08797587381,-0.66344669076,7.34094619751
0.783996,-0.00575242795457,-0.555684540411,-0.00383495196971,0.745514662912,-0.00345145677274,1.25287880851,-0.00460194236366,0.0,0.848291375701,-0.820679721519,-0.728640874246,0.889708856974,0.736310778185,1.08720888341,-0.664597176351,7.34094619751
0.793991,-0.0053689327576,-0.555301045215,-0.00383495196971,0.745898158109,-0.00345145677274,1.2532623037,-0.0053689327576,0.0,0.847907880504,-0.822980692701,-0.729024369443,0.893160313746,0.737077768579,1.08759237861,-0.666131157139,7.34094619751
0.803993,-0.00575242795457,-0.555301045215,-0.00383495196971,0.745131167715,-0.00345145677274,1.2536457989,-0.00421844716668,0.0,0.848674870898,-0.825281663882,-0.72940786464,0.898145751307,0.736694273382,1.08797587381,-0.668432128321,7.34094619751
0.814032,-0.00498543756063,-0.555301045215,-0.00383495196971,0.746281653306,-0.00383495196971,1.2536457989,-0.00460194236366,0.0,0.849058366095,-0.827966130261,-0.728640874246,0.902747693671,0.735927282988,1.0887428642,-0.670733099503,7.34094619751
0.824017,-0.0053689327576,-0.555684540411,-0.00383495196971,0.745898158109,-0.00383495196971,1.25249531331,-0.00460194236366,0.0,0.849825356489,-0.829500111049,-0.72940786464,0.905815655246,0.736694273382,1.0887428642,-0.673417565882,7.34094619751
0.834010,-0.0053689327576,-0.554917550018,-0.00383495196971,0.745898158109,-0.00345145677274,1.2540292941,-0.00460194236366,0.0,0.849441861292,-0.832184577428,-0.72940786464,0.909650607216,0.735927282988,1.08989334979,-0.676869022654,7.34094619751
0.844028,-0.0053689327576,-0.554534054821,-0.00383495196971,0.745898158109,-0.00345145677274,1.25287880851,-0.00460194236366,0.0,0.850208851685,-0.83448554861,-0.729024369443,0.912718568792,0.735927282988,1.09027684499,-0.67993698423,7.34094619751
0.854031,-0.00498543756063,-0.554534054821,-0.00345145677274,0.746281653306,-0.00306796157577,1.2536457989,-0.00460194236366,0.0,0.850208851685,-0.836786519791,-0.729024369443,0.916170025565,0.736310778185,1.09066034019,-0.6837719362,7.34094619751
0.864026,-0.0053689327576,-0.554534054821,-0.00345145677274,0.745131167715,-0.00345145677274,1.2540292941,-0.00460194236366,0.0,0.850208851685,-0.839854481367,-0.728640874246,0.921538958322,0.735927282988,1.09219432097,-0.687223392973,7.34094619751
0.874029,-0.00498543756063,-0.555301045215,-0.00345145677274,0.746665148503,-0.00383495196971,1.2540292941,-0.00460194236366,0.0,0.850975842079,-0.84330593814,-0.72940786464,0.924990415095,0.736694273382,1.09219432097,-0.690674849745,7.34094619751
